date,ticker,in_index
2005-01-31,RHI,1
2005-01-31,RHT,1
2005-01-31,RL,1
2005-01-31,ROK,1
2005-01-31,ROP,1
2005-01-31,RRD,1
2005-01-31,RSG,1
2005-01-31,RSH,1
2005-01-31,RTN,1
2005-01-31,RTX,1
2005-01-31,RVTY,1
2005-01-31,RX,1
2005-01-31,S,1
2005-01-31,SBL,1
2005-01-31,SBUX,1
2005-01-31,SCG,1
2005-01-31,SCHW,1
2005-01-31,SE,1
2005-01-31,SEE,1
2005-01-31,SGP,1
2005-01-31,SHLD,1
2005-01-31,SHW,1
2005-01-31,SIAL,1
2005-01-31,SII,1
2005-01-31,SJM,1
2005-01-31,SLB,1
2005-01-31,SLE,1
2005-01-31,SLM,1
2005-01-31,SLR,1
2005-01-31,SNA,1
2005-01-31,SNDK,1
2005-01-31,SNI,1
2005-01-31,SO,1
2005-01-31,SPG,1
2005-01-31,SPGI,1
2005-01-31,SPLS,1
2005-01-31,SRCL,1
2005-01-31,SRE,1
2005-01-31,STI,1
2005-01-31,STJ,1
2005-01-31,STR,1
2005-01-31,STT,1
2005-01-31,SUN,1
2005-01-31,SVU,1
2005-01-31,SW,1
2005-01-31,SWK,1
2005-01-31,SWN,1
2005-01-31,SWY,1
2005-01-31,SYK,1
2005-01-31,SYY,1
2005-01-31,T,1
2005-01-31,TAP,1
2005-01-31,TE,1
2005-01-31,TEG,1
2005-01-31,TEL,1
2005-01-31,TER,1
2005-01-31,TFC,1
2005-01-31,TGNA,1
2005-01-31,TGT,1
2005-01-31,THC,1
2005-01-31,TIE,1
2005-01-31,TIF,1
2005-01-31,TJX,1
2005-01-31,TLAB,1
2005-01-31,TMO,1
2005-01-31,TPR,1
2005-01-31,TRB,1
2005-01-31,TROW,1
2005-01-31,TRV,1
2005-01-31,TSG,1
2005-01-31,TSN,1
2005-01-31,TSS,1
2005-01-31,TT,1
2005-01-31,TWC,1
2005-01-31,TWX,1
2005-01-31,TXN,1
2005-01-31,TXT,1
2005-01-31,UAA,1
2005-01-31,UNH,1
2005-01-31,UNM,1
2005-01-31,UNP,1
2005-01-31,UPS,1
2005-01-31,URBN,1
2005-01-31,USB,1
2005-01-31,VAR,1
2005-01-31,VFC,1
2005-01-31,VIAB,1
2005-01-31,VLO,1
2005-01-31,VMC,1
2005-01-31,VNO,1
2005-01-31,VRSN,1
2005-01-31,VTRS,1
2005-01-31,VZ,1
2005-01-31,WAT,1
2005-01-31,WB,1
2005-01-31,WBA,1
2005-01-31,WDC,1
2005-01-31,WEC,1
2005-01-31,WELL,1
2005-01-31,WFC,1
2005-01-31,WFM,1
2005-01-31,WFR,1
2005-01-31,WHR,1
2005-01-31,WIN,1
2005-01-31,WM,1
2005-01-31,WMB,1
2005-01-31,WMT,1
2005-01-31,WTW,1
2005-01-31,WU,1
2005-01-31,WY,1
2005-01-31,WYN,1
2005-01-31,WYNN,1
2005-01-31,X,1
2005-01-31,XEL,1
2005-01-31,XL,1
2005-01-31,XLNX,1
2005-01-31,XOM,1
2005-01-31,XRAY,1
2005-01-31,XRX,1
2005-01-31,XTO,1
2005-01-31,YHOO,1
2005-01-31,YUM,1
2005-01-31,ZBH,1
2005-01-31,ZION,1
2005-02-28,A,1
2005-02-28,AA,1
2005-02-28,AAPL,1
2005-02-28,ABK,1
2005-02-28,ABS,1
2005-02-28,ABT,1
2005-02-28,ACAS,1
2005-02-28,ACE,1
2005-02-28,ADBE,1
2005-02-28,ADCT,1
2005-02-28,ADI,1
2005-02-28,ADM,1
2005-02-28,ADP,1
2005-02-28,ADSK,1
2005-02-28,AEE,1
2005-02-28,AEP,1
2005-02-28,AES,1
2005-02-28,AET,1
2005-02-28,AFL,1
2005-02-28,AGN,1
2005-02-28,AIG,1
2005-02-28,AIV,1
2005-02-28,AIZ,1
2005-02-28,AKAM,1
2005-02-28,ALL,1
2005-02-28,ALTR,1
2005-02-28,AMAT,1
2005-02-28,AMD,1
2005-02-28,AMGN,1
2005-02-28,AMP,1
2005-02-28,AMT,1
2005-02-28,AN,1
2005-02-28,ANDV,1
2005-02-28,ANF,1
2005-02-28,AON,1
2005-02-28,APA,1
2005-02-28,APC,1
2005-02-28,APD,1
2005-02-28,APH,1
2005-02-28,APOL,1
2005-02-28,APTV,1
2005-02-28,ATI,1
2005-02-28,AV,1
2005-02-28,AVP,1
2005-02-28,AVY,1
2005-02-28,AXP,1
2005-02-28,AYE,1
2005-02-28,AZO,1
2005-02-28,BA,1
2005-02-28,BAC,1
2005-02-28,BALL,1
2005-02-28,BAX,1
2005-02-28,BBBY,1
2005-02-28,BBWI,1
2005-02-28,BBY,1
2005-02-28,BC,1
2005-02-28,BCR,1
2005-02-28,BDX,1
2005-02-28,BEAM,1
2005-02-28,BEN,1
2005-02-28,BF-B,1
2005-02-28,BHI,1
2005-02-28,BIG,1
2005-02-28,BIIB,1
2005-02-28,BJS,1
2005-02-28,BK,1
2005-02-28,BKNG,1
2005-02-28,BMC,1
2005-02-28,BMS,1
2005-02-28,BMY,1
2005-02-28,BRCM,1
2005-02-28,BRK-B,1
2005-02-28,BSX,1
2005-02-28,BTU,1
2005-02-28,BXP,1
2005-02-28,C,1
2005-02-28,CA,1
2005-02-28,CAG,1
2005-02-28,CAH,1
2005-02-28,CAM,1
2005-02-28,CAT,1
2005-02-28,CBE,1
2005-02-28,CBRE,1
2005-02-28,CCE,1
2005-02-28,CCL,1
2005-02-28,CEG,1
2005-02-28,CELG,1
2005-02-28,CEPH,1
2005-02-28,CF,1
2005-02-28,CFC,1
2005-02-28,CFN,1
2005-02-28,CHK,1
2005-02-28,CHRW,1
2005-02-28,CI,1
2005-02-28,CIEN,1
2005-02-28,CINF,1
2005-02-28,CL,1
2005-02-28,CLX,1
2005-02-28,CMA,1
2005-02-28,CMCSA,1
2005-02-28,CME,1
2005-02-28,CMI,1
2005-02-28,CMS,1
2005-02-28,CNP,1
2005-02-28,CNX,1
2005-02-28,COF,1
2005-02-28,COL,1
2005-02-28,COP,1
2005-02-28,COR,1
2005-02-28,COST,1
2005-02-28,COV,1
2005-02-28,CPAY,1
2005-02-28,CPB,1
2005-02-28,CPRI,1
2005-02-28,CPWR,1
2005-02-28,CSC,1
2005-02-28,CSCO,1
2005-02-28,CSX,1
2005-02-28,CTAS,1
2005-02-28,CTRA,1
2005-02-28,CTSH,1
2005-02-28,CTX,1
2005-02-28,CTXS,1
2005-02-28,CVG,1
2005-02-28,CVH,1
2005-02-28,CVS,1
2005-02-28,CVX,1
2005-02-28,D,1
2005-02-28,DAY,1
2005-02-28,DD,1
2005-02-28,DE,1
2005-02-28,DELL,1
2005-02-28,DF,1
2005-02-28,DGX,1
2005-02-28,DHI,1
2005-02-28,DHR,1
2005-02-28,DIS,1
2005-02-28,DISCA,1
2005-02-28,DJ,1
2005-02-28,DNB,1
2005-02-28,DNR,1
2005-02-28,DO,1
2005-02-28,DOC,1
2005-02-28,DOV,1
2005-02-28,DOW,1
2005-02-28,DPS,1
2005-02-28,DRI,1
2005-02-28,DTE,1
2005-02-28,DTV,1
2005-02-28,DUK,1
2005-02-28,DV,1
2005-02-28,DVA,1
2005-02-28,DVN,1
2005-02-28,DYN,1
2005-02-28,EA,1
2005-02-28,EBAY,1
2005-02-28,ECL,1
2005-02-28,ED,1
2005-02-28,EFX,1
2005-02-28,EG,1
2005-02-28,EIX,1
2005-02-28,EK,1
2005-02-28,EL,1
2005-02-28,ELV,1
2005-02-28,EMC,1
2005-02-28,EMN,1
2005-02-28,EMR,1
2005-02-28,EOG,1
2005-02-28,EP,1
2005-02-28,EQR,1
2005-02-28,EQT,1
2005-02-28,ES,1
2005-02-28,ESRX,1
2005-02-28,ETFC,1
2005-02-28,ETN,1
2005-02-28,ETR,1
2005-02-28,EXC,1
2005-02-28,EXPD,1
2005-02-28,F,1
2005-02-28,FCX,1
2005-02-28,FDC,1
2005-02-28,FDO,1
2005-02-28,FDX,1
2005-02-28,FE,1
2005-02-28,FHN,1
2005-02-28,FII,1
2005-02-28,FIS,1
2005-02-28,FISV,1
2005-02-28,FITB,1
2005-02-28,FLIR,1
2005-02-28,FLR,1
2005-02-28,FLS,1
2005-02-28,FNM,1
2005-02-28,FOXA,1
2005-02-28,FRE,1
2005-02-28,FRX,1
2005-02-28,FSLR,1
2005-02-28,FTR,1
2005-02-28,GAS,1
2005-02-28,GD,1
2005-02-28,GE,1
2005-02-28,GEN,1
2005-02-28,GENZ,1
2005-02-28,GHC,1
2005-02-28,GILD,1
2005-02-28,GIS,1
2005-02-28,GL,1
2005-02-28,GLK,1
2005-02-28,GLW,1
2005-02-28,GNW,1
2005-02-28,GOOG,1
2005-02-28,GPC,1
2005-02-28,GPS,1
2005-02-28,GR,1
2005-02-28,GS,1
2005-02-28,GT,1
2005-02-28,GWW,1
2005-02-28,HAL,1
2005-02-28,HAR,1
2005-02-28,HAS,1
2005-02-28,HBAN,1
2005-02-28,HCBK,1
2005-02-28,HD,1
2005-02-28,HES,1
2005-02-28,HIG,1
2005-02-28,HNZ,1
2005-02-28,HOG,1
2005-02-28,HON,1
2005-02-28,HOT,1
2005-02-28,HPQ,1
2005-02-28,HRB,1
2005-02-28,HSP,1
2005-02-28,HST,1
2005-02-28,HSY,1
2005-02-28,HUM,1
2005-02-28,IBM,1
2005-02-28,IFF,1
2005-02-28,IGT,1
2005-02-28,INTC,1
2005-02-28,INTU,1
2005-02-28,IP,1
2005-02-28,IPG,1
2005-02-28,IQV,1
2005-02-28,IRM,1
2005-02-28,ISRG,1
2005-02-28,ITT,1
2005-02-28,ITW,1
2005-02-28,IVZ,1
2005-02-28,J,1
2005-02-28,JBL,1
2005-02-28,JCI,1
2005-02-28,JCP,1
2005-02-28,JDSU,1
2005-02-28,JEF,1
2005-02-28,JNJ,1
2005-02-28,JNS,1
2005-02-28,JNY,1
2005-02-28,JOY,1
2005-02-28,JPM,1
2005-02-28,JWN,1
2005-02-28,K,1
2005-02-28,KBH,1
2005-02-28,KEY,1
2005-02-28,KG,1
2005-02-28,KIM,1
2005-02-28,KLAC,1
2005-02-28,KMB,1
2005-02-28,KO,1
2005-02-28,KR,1
2005-02-28,KSE,1
2005-02-28,KSS,1
2005-02-28,L,1
2005-02-28,LEG,1
2005-02-28,LEH,1
2005-02-28,LEN,1
2005-02-28,LH,1
2005-02-28,LHX,1
2005-02-28,LIFE,1
2005-02-28,LIN,1
2005-02-28,LLL,1
2005-02-28,LLTC,1
2005-02-28,LLY,1
2005-02-28,LM,1
2005-02-28,LMT,1
2005-02-28,LNC,1
2005-02-28,LOW,1
2005-02-28,LSI,1
2005-02-28,LUMN,1
2005-02-28,LUV,1
2005-02-28,LXK,1
2005-02-28,M,1
2005-02-28,MA,1
2005-02-28,MAR,1
2005-02-28,MAS,1
2005-02-28,MAT,1
2005-02-28,MBI,1
2005-02-28,MCD,1
2005-02-28,MCHP,1
2005-02-28,MCK,1
2005-02-28,MCO,1
2005-02-28,MDP,1
2005-02-28,MDT,1
2005-02-28,MET,1
2005-02-28,META,1
2005-02-28,MFE,1
2005-02-28,MHS,1
2005-02-28,MI,1
2005-02-28,MIL,1
2005-02-28,MKC,1
2005-02-28,MMM,1
2005-02-28,MO,1
2005-02-28,MOLX,1
2005-02-28,MON,1
2005-02-28,MRK,1
2005-02-28,MRO,1
2005-02-28,MRSH,1
2005-02-28,MS,1
2005-02-28,MSFT,1
2005-02-28,MSI,1
2005-02-28,MTB,1
2005-02-28,MU,1
2005-02-28,MUR,1
2005-02-28,MWW,1
2005-02-28,MXIM,1
2005-02-28,NBL,1
2005-02-28,NBR,1
2005-02-28,NCR,1
2005-02-28,NDAQ,1
2005-02-28,NE,1
2005-02-28,NEE,1
2005-02-28,NEM,1
2005-02-28,NI,1
2005-02-28,NKE,1
2005-02-28,NOC,1
2005-02-28,NOV,1
2005-02-28,NOVL,1
2005-02-28,NRG,1
2005-02-28,NSC,1
2005-02-28,NSM,1
2005-02-28,NTAP,1
2005-02-28,NTRS,1
2005-02-28,NUE,1
2005-02-28,NVDA,1
2005-02-28,NVLS,1
2005-02-28,NWL,1
2005-02-28,NYT,1
2005-02-28,NYX,1
2005-02-28,ODP,1
2005-02-28,OKE,1
2005-02-28,OMC,1
2005-02-28,OMX,1
2005-02-28,ORCL,1
2005-02-28,ORLY,1
2005-02-28,OXY,1
2005-02-28,PAYX,1
2005-02-28,PBCT,1
2005-02-28,PBI,1
2005-02-28,PCAR,1
2005-02-28,PCG,1
2005-02-28,PCL,1
2005-02-28,PCP,1
2005-02-28,PDCO,1
2005-02-28,PEG,1
2005-02-28,PEP,1
2005-02-28,PFE,1
2005-02-28,PFG,1
2005-02-28,PG,1
2005-02-28,PGN,1
2005-02-28,PGR,1
2005-02-28,PH,1
